bst,lista,search_pool_size
1,1,1
1,1,2
-2,-3,3
2,2,4
1,1,5
2,2,6
1,1,7
-6,-8,8
-5,-9,9
-7,-10,10
4,5,11
6,11,12
-4,-13,13
3,4,14
1,1,15
2,4,16
2,2,17
-3,-18,18
1,1,19
-7,-20,20
4,6,21
4,12,22
6,18,23
8,22,24
7,18,25
8,25,26
5,12,27
5,6,28
-10,-29,29
-10,-30,30
9,20,31
8,29,32
5,15,33
2,2,34
6,23,35
12,30,36
-5,-37,37
-7,-38,38
-8,-39,39
3,3,40
8,37,41
7,18,42
7,24,43
-9,-44,44
5,42,45
6,29,46
11,30,47
9,42,48
6,20,49
9,35,50
-8,-51,51
7,19,52
4,16,53
5,42,54
4,9,55
6,26,56
3,42,57
7,33,58
-7,-59,59
-8,-60,60
9,36,61
-11,-62,62
8,38,63
3,14,64
-8,-65,65
-8,-66,66
1,1,67
-8,-68,68
7,13,69
-11,-70,70
-7,-71,71
4,7,72
-7,-73,73
5,25,74
-11,-75,75
4,18,76
9,21,77
-10,-78,78
9,25,79
-7,-80,80
6,24,81
5,8,82
7,64,83
-11,-84,84
-8,-85,85
12,55,86
-9,-87,87
4,25,88
7,48,89
-9,-90,90
4,14,91
-6,-92,92
-8,-93,93
3,4,94
9,86,95
-6,-96,96
5,25,97
-10,-98,98
8,35,99
6,11,100
5,31,101
7,33,102
5,37,103
5,69,104
-4,-105,105
5,6,106
6,60,107
-9,-108,108
9,75,109
10,103,110
7,17,111
6,24,112
7,95,113
13,113,114
-10,-115,115
6,22,116
7,41,117
2,4,118
6,35,119
6,31,120
3,11,121
7,47,122
14,112,123
9,100,124
-10,-125,125
1,1,126
-8,-127,127
-13,-128,128
6,91,129
-14,-130,130
-11,-131,131
-9,-132,132
4,12,133
8,34,134
17,121,135
-12,-136,136
6,10,137
-16,-138,138
8,46,139
-9,-140,140
9,94,141
-11,-142,142
7,42,143
-9,-144,144
-11,-145,145
8,21,146
-10,-147,147
-16,-148,148
3,60,149
-11,-150,150
7,9,151
-9,-152,152
4,7,153
9,130,154
4,9,155
-11,-156,156
6,8,157
-11,-158,158
11,97,159
9,108,160
3,3,161
6,32,162
10,107,163
-17,-164,164
5,64,165
5,22,166
-12,-167,167
5,43,168
10,101,169
11,91,170
5,44,171
-6,-172,172
-13,-173,173
4,44,174
-14,-175,175
-14,-176,176
-8,-177,177
9,45,178
-11,-179,179
6,19,180
5,15,181
-12,-182,182
2,3,183
12,45,184
-6,-185,185
11,158,186
10,81,187
15,77,188
-9,-189,189
4,17,190
7,22,191
8,59,192
-9,-193,193
12,71,194
-15,-195,195
4,11,196
7,12,197
5,80,198
11,113,199
-13,-200,200
10,113,201
13,130,202
11,147,203
-9,-204,204
14,134,205
-16,-206,206
1,1,207
9,77,208
-17,-209,209
6,124,210
10,136,211
-13,-212,212
-12,-213,213
-10,-214,214
-13,-215,215
-8,-216,216
-10,-217,217
9,91,218
9,66,219
-8,-220,220
-13,-221,221
10,25,222
10,159,223
7,11,224
12,205,225
-12,-226,226
11,66,227
-10,-228,228
-8,-229,229
-12,-230,230
-10,-231,231
10,183,232
-11,-233,233
9,75,234
6,13,235
9,28,236
8,20,237
8,53,238
-10,-239,239
-10,-240,240
-17,-241,241
8,21,242
-9,-243,243
10,97,244
7,20,245
3,5,246
15,218,247
7,206,248
-10,-249,249
13,146,250
8,54,251
13,252,252
-10,-253,253
15,130,254
9,193,255
9,153,256
6,70,257
-11,-258,258
-14,-259,259
-11,-260,260
-20,-261,261
11,187,262
6,7,263
13,161,264
-11,-265,265
8,76,266
4,10,267
-7,-268,268
-13,-269,269
-10,-270,270
7,101,271
-11,-272,272
10,154,273
12,195,274
11,236,275
-9,-276,276
4,8,277
10,261,278
7,35,279
10,220,280
-10,-281,281
10,252,282
-10,-283,283
8,48,284
-10,-285,285
7,132,286
2,2,287
-9,-288,288
-12,-289,289
-14,-290,290
9,263,291
-9,-292,292
7,32,293
7,102,294
7,35,295
-14,-296,296
11,259,297
5,124,298
12,260,299
3,12,300
-16,-301,301
12,139,302
8,57,303
4,5,304
8,288,305
12,158,306
5,195,307
8,37,308
7,92,309
5,6,310
-11,-311,311
-15,-312,312
11,277,313
-16,-314,314
-8,-315,315
8,180,316
1,1,317
-13,-318,318
-12,-319,319
-9,-320,320
6,308,321
18,310,322
11,189,323
12,68,324
11,205,325
9,172,326
-15,-327,327
-11,-328,328
12,221,329
9,51,330
-12,-331,331
-11,-332,332
-9,-333,333
-9,-334,334
14,207,335
11,165,336
10,106,337
12,32,338
7,75,339
7,19,340
-14,-341,341
10,181,342
13,308,343
6,258,344
-17,-345,345
-10,-346,346
13,302,347
12,288,348
9,260,349
-14,-350,350
11,92,351
12,190,352
10,183,353
13,164,354
13,280,355
-13,-356,356
7,122,357
7,24,358
-9,-359,359
9,115,360
8,37,361
9,188,362
10,145,363
-9,-364,364
8,99,365
8,261,366
10,280,367
13,188,368
9,123,369
-11,-370,370
9,42,371
11,159,372
12,185,373
13,208,374
13,242,375
-11,-376,376
8,287,377
14,251,378
-10,-379,379
11,374,380
-8,-381,381
1,1,382
10,171,383
-14,-384,384
-14,-385,385
11,282,386
-13,-387,387
9,14,388
7,97,389
-14,-390,390
4,22,391
-7,-392,392
-11,-393,393
10,96,394
13,175,395
13,300,396
16,233,397
-15,-398,398
6,212,399
7,33,400
11,224,401
11,230,402
14,354,403
-13,-404,404
12,124,405
-12,-406,406
-12,-407,407
-9,-408,408
-14,-409,409
7,38,410
10,60,411
9,65,412
11,142,413
5,7,414
-12,-415,415
-14,-416,416
10,79,417
7,49,418
-16,-419,419
5,37,420
-15,-421,421
7,24,422
-10,-423,423
8,313,424
-13,-425,425
12,63,426
7,124,427
16,336,428
-10,-429,429
17,412,430
9,329,431
-15,-432,432
13,383,433
-10,-434,434
7,149,435
11,298,436
-10,-437,437
-13,-438,438
-13,-439,439
-11,-440,440
-11,-441,441
-13,-442,442
-14,-443,443
10,207,444
10,51,445
10,311,446
-10,-447,447
10,116,448
5,19,449
10,85,450
8,31,451
11,180,452
-16,-453,453
13,403,454
-14,-455,455
5,29,456
11,98,457
6,63,458
-11,-459,459
7,84,460
11,241,461
-14,-462,462
-12,-463,463
8,38,464
-13,-465,465
6,27,466
10,307,467
14,384,468
-15,-469,469
8,236,470
-13,-471,471
6,6,472
13,264,473
-16,-474,474
8,114,475
-15,-476,476
12,196,477
7,34,478
11,87,479
-10,-480,480
13,218,481
5,19,482
-16,-483,483
-13,-484,484
10,227,485
6,126,486
-13,-487,487
11,297,488
11,341,489
12,328,490
-11,-491,491
10,177,492
10,275,493
20,396,494
-11,-495,495
5,12,496
12,305,497
8,408,498
11,160,499
-11,-500,500
