bst,lista,search_pool_size
15,1882,2000
-20,-2000,2000
14,500,2000
17,1827,2000
6,18,2000
-10,-2000,2000
7,128,2000
13,1523,2000
14,1981,2000
-14,-2000,2000
-26,-2000,2000
7,68,2000
16,1706,2000
8,795,2000
-14,-2000,2000
-21,-2000,2000
12,309,2000
13,1644,2000
14,1658,2000
11,1733,2000
-22,-2000,2000
8,896,2000
-13,-2000,2000
-16,-2000,2000
15,418,2000
-16,-2000,2000
14,612,2000
11,481,2000
-11,-2000,2000
10,951,2000
16,1370,2000
-12,-2000,2000
12,828,2000
-18,-2000,2000
-21,-2000,2000
-17,-2000,2000
12,1714,2000
12,1715,2000
-16,-2000,2000
-16,-2000,2000
-16,-2000,2000
8,276,2000
12,755,2000
-18,-2000,2000
9,215,2000
17,244,2000
-27,-2000,2000
16,455,2000
-16,-2000,2000
7,703,2000
10,159,2000
-16,-2000,2000
6,232,2000
11,567,2000
12,1321,2000
17,1659,2000
13,253,2000
10,1829,2000
-9,-2000,2000
14,1975,2000
10,491,2000
17,147,2000
-12,-2000,2000
11,1156,2000
-18,-2000,2000
11,324,2000
12,1148,2000
11,935,2000
8,1127,2000
-14,-2000,2000
13,772,2000
-15,-2000,2000
12,218,2000
-16,-2000,2000
-22,-2000,2000
18,1513,2000
11,227,2000
-15,-2000,2000
11,1172,2000
8,35,2000
19,1593,2000
-13,-2000,2000
14,579,2000
14,370,2000
-16,-2000,2000
20,1679,2000
-11,-2000,2000
16,704,2000
-18,-2000,2000
17,919,2000
-12,-2000,2000
15,1960,2000
-18,-2000,2000
13,766,2000
18,1010,2000
-14,-2000,2000
-14,-2000,2000
19,766,2000
-9,-2000,2000
17,1530,2000
